"Distribution of fish biomass (tonne) by Trophic level. Class i designates interval [i,i+1[."
"Time","TL","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.9000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0,0.0,6.065933E-8,0.0,0.05329339,1.5925863E-4,0.013369196,75.5396,0.0,1.9316538E7,6537.666,0.0
2.0,2.1,0.0,0.0,0.0,0.0,7.0319928E-9,0.0,0.092858486,5.6518915E-5,0.016904218,125.71218,0.0,7292632.5,3342.2688,0.0
2.0,2.2,0.0,0.0,0.0,0.0,1.5275887E-8,0.0,0.076751955,4.666706E-6,0.0,227.17854,0.0,1.6663716E7,6075.836,0.0
2.0,2.3000002,0.0,0.0,0.0,0.0,0.11659823,0.0,0.020860063,5.2579225E-4,1.436512E-4,121.00133,0.0,8248672.0,6618.1743,0.0
2.0,2.4,0.0,6.000797E-5,0.0,0.0,0.005227571,0.0,0.0060942355,0.0010286475,0.00825245,13.28222,0.0,5761576.0,2638.345,0.0
2.0,2.5,0.0,0.0,0.0,0.0,0.9274604,0.0,0.006483526,1.3514016E-4,0.0033331937,369.71497,0.0,3688605.0,1711.9778,0.0
2.0,2.6,0.0,1.2345282E-4,0.0,0.0,3.7758033,0.0,0.031955853,6.408774E-5,0.005140026,0.1082224,0.0,2801048.0,2268.6736,0.0
2.0,2.7,0.0,5.241813E-4,0.0,0.0,2.3397942,0.0,0.06700777,1.3879627E-5,0.016060214,197.50768,0.0,2493325.8,2538.923,0.0
2.0,2.8000002,0.0,0.0033425828,0.0,0.0,0.5662896,0.0,0.055199586,2.2754617E-4,0.0079793865,40.305523,0.0,1421675.4,2934.8381,0.0
2.0,2.9,0.0,0.0024513192,0.0,0.0,1.3497822,0.0,0.22308588,0.0016792101,0.008235952,40.00599,0.0,1756397.9,4329.8413,0.0
2.0,3.0,2.4507792,0.0051304805,1161.4683,4246.3633,289.33673,404.87582,0.3087797,0.0054162196,0.00899508,279.71613,46.79375,3408441.0,4624.3364,24624.602
2.0,3.1000001,1.2136438,1.6056967E-4,2144.4885,1847.2163,151.47984,145.56708,0.0,0.0011244179,8.868008E-8,90.45216,14.562033,1725844.4,7031.978,6464.571
2.0,3.2,21.368969,11.861698,1086.7484,2724.9812,496.48093,277.86566,4.132029,2240.4897,435.21298,2.4042118,623.5305,2044170.2,9906.735,14273.449
2.0,3.3,48.11314,19.439886,1014.4486,2075.5044,1640.6249,240.58485,2.2461457,772.3316,206.076,3.9979796,571.5012,842932.2,3177.113,17667.664
2.0,3.4,54.106026,9.300342,5306.1987,2026.8435,885.8867,198.10396,5.7249155,620.5018,306.21033,939.5343,61.820976,300071.62,1502.3597,9445.766
2.0,3.5,88.48111,30.65538,3045.056,5694.0454,595.1133,306.41766,6.734446,816.79675,383.5514,6975.55,6435.126,113960.42,422.6977,13385.986
