"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
2.0,0.0,333.56992,58623.95,74501.74,0.0,4973.4185,0.0,948.3812,6848.9795,7463.0044,22207.4,3735782.5,2214.9424,45298.637
3.0,0.0,198.2674,37245.156,66928.12,0.0,12160.895,0.0,1845.6503,1323.1665,2306.416,4900.1616,7231856.5,768.61584,31577.082
4.0,0.0,197.5595,23321.162,59019.61,0.0,18077.984,0.0,448.3285,1004.86615,570.4073,1279.3776,7063360.0,412.0241,29423.7
5.0,0.98796624,284.51218,11934.138,36877.434,0.0,20767.838,0.0,66.89744,985.00385,1027.7128,809.22906,5845192.0,323.4709,14067.446
6.0,28.277706,181.59157,5904.281,24144.674,0.0,20837.629,0.0,89.39964,1031.4606,1236.7744,916.8567,4208430.5,508.96945,9085.092
7.0,78.56245,112.97235,1367.4265,12532.456,0.0,19874.64,0.0,83.06549,1041.7875,1337.5887,6002.092,2856607.0,1558.3257,2226.791
8.0,138.47363,143.17647,1003.7033,5986.4224,0.0,19259.662,0.0,189.0999,1361.2172,1812.7231,5607.3135,2105651.8,3913.298,1554.771
9.0,194.60448,167.35547,1031.8604,4157.606,0.0,18064.793,0.0,336.67303,1510.694,1976.5735,2464.2075,1751553.0,7934.9556,1850.0797
10.0,228.23807,213.65005,1237.7906,4048.9902,0.0,16766.684,0.0,760.73096,1343.6061,2929.608,987.4155,1344659.5,9871.059,2711.091
11.0,254.39815,320.09616,1242.357,5565.2705,0.0,15202.435,0.0,925.43274,1536.3726,5026.32,1216.7701,927925.6,10533.158,4746.4565
12.0,232.34286,434.01813,1469.023,5853.8486,0.0,13853.774,0.0,1006.5394,1560.762,7416.483,1339.8481,477947.2,8932.883,6782.216
13.0,212.84407,424.1878,1474.3314,6174.67,0.0,12278.747,0.0,1187.6919,1227.6658,8434.67,4226.867,268946.12,7060.1685,7143.9155
14.0,168.96376,326.77246,1208.8942,5899.0283,0.0,10694.688,0.0,1070.6473,1527.6646,8463.165,5864.4146,150892.58,6398.871,5474.3843
