"Mean abundance (number of fish), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
16.0,1.601201E7,4.3366024E7,2.93934592E9,1.7084304E8,2.15763046E9,9841355.0,9.1058012E9,1.08086374E9,5.6178196E7,2.38361006E10,1.99632026E9,2.21976228E10,2.53882737E10,3.25276032E9
17.0,1.9620794E7,4.09635E7,3.39145472E9,1.3611696E8,1.77174554E9,9754698.0,9.6786115E9,1.24484838E9,4.835996E7,4.1410322E10,2.28380416E9,1.48540989E10,2.5624873E10,4.5713761E9
18.0,2.3795728E7,4.633798E7,2.77951795E9,1.58334592E8,1.51301965E9,6768980.5,8.8266834E9,1.55596365E9,4.2947264E7,4.9855623E10,2.06079475E9,7.1710587E9,2.59995218E10,2.47077018E9
19.0,2.41742E7,4.773212E7,2.7440855E9,1.79804176E8,1.23136525E9,4666218.5,7.7419699E9,1.68242931E9,4.2579556E7,3.8755013E10,1.69959155E9,7.0436746E9,2.40721019E10,3.60112333E9
20.0,2.3429504E7,6.7039832E7,3.40031104E9,1.99179632E8,1.41161741E9,6347189.0,7.0192358E9,1.60167962E9,4.1147204E7,4.1296392E10,1.77740864E9,2.32176579E10,2.10966057E10,4.3637693E9
21.0,2.7608074E7,7.8628352E7,4.23789082E9,1.9287824E8,1.37747315E9,5378386.5,7.6283259E9,1.52477568E9,3.687252E7,3.05266688E10,2.16262938E9,2.39333048E10,2.05325824E10,3.59864346E9
22.0,3.1190044E7,8.0532592E7,4.12235546E9,1.47174688E8,1.00180493E9,4911130.0,7.7110272E9,1.67474112E9,4.446642E7,3.07188654E10,1.79279603E9,2.62886195E10,1.96770324E10,5.1894103E9
23.0,3.8532936E7,8.4668592E7,3.19250893E9,1.25245688E8,1.60412275E9,4784588.5,7.7614945E9,1.66447552E9,4.1818768E7,3.3055486E10,1.30526592E9,3.34710927E10,1.94295316E10,4.24556262E9
24.0,4.2114944E7,1.06146216E8,2.75942221E9,1.23036544E8,1.7677792E9,4176831.2,7.5057167E9,1.57989082E9,4.2042628E7,3.834821E10,1.54088947E9,2.39378637E10,2.27800596E10,3.15046426E9
25.0,4.5829744E7,1.29717232E8,1.85311821E9,1.21956144E8,1.94861427E9,2758495.5,6.2894392E9,1.517312E9,4.971694E7,2.93273457E10,1.86327206E9,1.56634542E10,2.39934956E10,2.30283392E9
