"Biomass of prey species (in tons per time step of saving, in rows) eaten by a predator species (in col). The last column reports the biomass of prey at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","Prey","lesserSpottedDogfish < 5.0","lesserSpottedDogfish >=5.0","lesserSpottedDogfish >=10.0","lesserSpottedDogfish >=30.0","redMullet < 5.0","redMullet >=5.0","redMullet >=10.0","redMullet >=30.0","pouting < 5.0","pouting >=5.0","pouting >=10.0","pouting >=30.0","whiting < 5.0","whiting >=5.0","whiting >=10.0","whiting >=30.0","poorCod < 5.0","poorCod >=5.0","poorCod >=10.0","poorCod >=30.0","cod < 5.0","cod >=5.0","cod >=10.0","cod >=30.0","dragonet < 5.0","dragonet >=5.0","dragonet >=10.0","dragonet >=30.0","sole < 5.0","sole >=5.0","sole >=10.0","sole >=30.0","plaice < 5.0","plaice >=5.0","plaice >=10.0","plaice >=30.0","horseMackerel < 5.0","horseMackerel >=5.0","horseMackerel >=10.0","horseMackerel >=30.0","mackerel < 5.0","mackerel >=5.0","mackerel >=10.0","mackerel >=30.0","herring < 5.0","herring >=5.0","herring >=10.0","herring >=30.0","sardine < 5.0","sardine >=5.0","sardine >=10.0","sardine >=30.0","squids < 5.0","squids >=5.0","squids >=10.0","squids >=30.0"
2.0,"lesserSpottedDogfish < 5.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,"lesserSpottedDogfish >=5.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024140444,0.0,0.0,0.02650771,0.18160574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10732686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7989565E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.363738E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012062468
2.0,"lesserSpottedDogfish >=10.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056606673,0.0,0.0,1.5140812,107.41433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.820509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7865326E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2478892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22723457,18.004885
2.0,"lesserSpottedDogfish >=30.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,"redMullet < 5.0",0.0,0.0,7.397225E-4,0.0,7.432248E-10,5.1633875E-10,0.0,0.0,2.1927406E-4,0.004302124,0.019572299,0.0023560945,9.47077E-6,0.005573338,0.0016021283,0.024846612,3.0200987E-5,0.005564206,0.035595432,0.0,8.774261E-10,2.5193051E-8,3.9433417E-6,0.010877775,3.209274E-8,3.984783E-7,0.0,0.0,4.6409276E-10,1.2837832E-8,3.491752E-8,0.0,0.0,0.0,3.8256232E-7,0.0,1.1903383E-4,0.0012394028,0.0066352007,0.0,5.1799047E-6,0.0037296177,0.031959664,0.0017557945,0.0,0.0,0.0,0.0,1.1674077E-8,5.8368283E-8,3.957762E-4,0.0,0.0023585798,0.008280724,1.7500044E-4,0.010337326
2.0,"redMullet >=5.0",0.0,0.0,0.011525258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.314164E-4,1.8883122,0.0,0.0,0.0013902435,9.260891,0.0,0.0,3.9289612E-4,0.0,0.0,0.0,5.0892355E-4,0.5895412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949669E-4,0.0,0.0,0.10981852,0.0,0.0,0.0,2.3133932E-4,0.013846485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.023605E-13,0.06763665
2.0,"redMullet >=10.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4136798E-5,0.0,0.0,0.0015831417,84.81344,0.0,0.0,0.0,0.0,0.0,0.0,2.1957073E-6,6.9863367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,"redMullet >=30.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18562564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.787258E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,"pouting < 5.0",0.0,0.0,6.4376574,0.0,3.4076774E-7,3.8634504E-8,0.0,0.0,0.93865234,91.881226,501.9503,59.270805,0.17190734,0.89448667,0.11758,803.4009,0.46593848,12.925896,124.798065,0.0,6.728027E-5,5.878839E-6,0.014647334,16.181618,0.0064185807,9.7002636E-4,0.0,0.0,2.676546E-6,2.2668528E-5,5.9144855E-5,0.0,9.544554E-6,1.7148333E-4,0.031764567,0.0,5.7501984,5.056407,188.54114,0.0,0.13974676,23.349236,216.44699,22.355846,0.26511443,3.4500492,0.51646185,0.0,5.457385E-6,0.23919705,0.96972966,0.0,5.636548,15.869179,31.424978,439.64484
2.0,"pouting >=5.0",0.0,0.0,3.1324396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.2766,1634.4584,0.0,0.0,65.68695,14594.6455,0.0,0.0,7.1455216,0.0,0.0,0.0,5.2435265,567.15405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.64575,5.6609624E-6,0.0,0.0,316.5726,23.73616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.43137,9915.424
