"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
2.0,0.017301002391210747,6.898982189778712,0.8939768050879546,0.0,0.07223498967644448,0.04435988401127246,2.4792180859858117,0.20264064156707054,0.13490043232615864,0.0,0.015869765429963035,0.01873835328365744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,0.01408523399056212,9.171301203988952,1.1703902326341402,0.0,0.010673811486273527,0.10923525922499364,2.4525796918828076,0.19465723204844873,0.21471832805768118,0.0,0.004017457745291837,0.029824083249843574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4.0,0.010927112029292438,11.289055296212334,1.7203133401909496,0.0,0.02269771151291004,0.08201497264019296,2.426680300033334,0.19530175412457013,0.21560354041173396,0.0,0.007027119189814438,0.02992517757747558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5.0,0.008014748907678997,10.781555105443035,1.2126576123315749,0.0,0.01583083041288848,0.08310313811190742,2.4042282387383125,0.1945168250381761,0.2152612837572486,0.0,0.006670775915320309,0.02987051752364347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,0.009479621670884257,8.359843857477353,1.1429575866175916,0.0,0.011787949419142737,0.12590624387295243,2.4182608506448227,0.20002580215907403,0.21619585891483317,0.0,0.006885554595832678,0.030017867318567582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,0.014501646452698485,6.217429911111944,0.7521763385547385,0.0,0.01745162763201836,0.13349148538464073,2.463667777828157,0.20447241420790327,0.21601556944253225,0.0,0.006092657332110901,0.029987507293568187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,0.01712761006987569,4.76231096420902,0.2501752942219579,0.0,0.04659988955222746,0.14403248279732225,2.489099310780567,0.20771935446670362,0.21599945191222386,0.0,0.00997893142321711,0.029994158739597893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9.0,0.023448608410470407,5.065652458765258,0.24771382785334717,0.0,0.06473443537225354,0.1339706107218969,2.549939209345293,0.20665053687497356,0.21599819515225702,0.0,0.011816794494202304,0.02999411561694224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10.0,0.027577004770597314,4.572384431463028,0.20188585737713613,0.0,0.08048536192482084,0.13552716949584548,2.6186975764511167,0.20761173165136224,0.2159991525237132,0.0,0.012060820964285747,0.029993558534862137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11.0,0.02497842881659014,7.2118128793290355,0.31489089081384164,0.0,0.07918613159248088,0.12478716593912702,2.565366000543399,0.2020615831522076,0.21600415021818356,0.0,0.014024775703754194,0.029993584849942787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12.0,0.02337292368367044,7.157993809700889,0.4162597505318691,0.0,0.07166936788818996,0.11728371004978236,2.5562697062898976,0.20310110390636957,0.21599451238210213,0.0,0.010484146965988848,0.029991706777436452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13.0,0.021392313181967267,6.743089475330375,0.5802071413299834,0.0,0.06752077828350164,0.10813961466082594,2.527175169613363,0.20537350843365634,0.2158936488787275,0.0,0.01331486513183292,0.029977014264495127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14.0,0.01987938780164611,6.827382264859995,0.32768669990998234,0.0,0.07664333718237334,0.11062208394473601,2.5137150118048055,0.20363072725230164,0.21598652497051699,0.0,0.012619891561097558,0.0299913837326648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15.0,0.023463286805803483,4.842890685721137,0.20482229759468135,0.0,0.058531499663471966,0.1136031306340942,2.5421069235493863,0.20787389746767404,0.2159989497390855,0.0,0.011644519559087314,0.02999293793014331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16.0,0.025924934206516603,4.833485039500345,0.26194809541068326,0.0,0.06774074196513223,0.1211927192022598,2.5792027856539383,0.20949272524700643,0.2159988622591697,0.0,0.011512013207176753,0.029993214684504672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17.0,0.02574874794199805,7.221819235133141,0.2021618022609027,0.0,0.0725489144868419,0.12453407294615863,2.575613231462077,0.20376021881917303,0.21599914389318436,0.0,0.013174668553162268,0.029993109060312193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18.0,0.027457169596721488,6.538099653930003,0.1910284773393289,0.0,0.0762337672870607,0.1231292195373106,2.59718481551354,0.2064321812119323,0.2160026811541893,0.0,0.011537545650659686,0.029993385013352816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19.0,0.027116171734352327,7.489247159953351,0.29739195109406336,0.0,0.07819762893429313,0.11808623518652661,2.5832692813249736,0.2023906488322939,0.21599722025287652,0.0,0.013019557148177489,0.029992229504768868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20.0,0.02777803386412081,5.9939704447175,0.2835857576882843,0.0,0.08392520670995003,0.11145160035026068,2.6059076877603005,0.20517948267619926,0.21600219677274252,0.0,0.013120673271939729,0.029993820595062594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21.0,0.026493909925173587,6.814517600588092,0.24281904897668594,0.0,0.07838611321768588,0.1103471457455735,2.583292967204505,0.20554976455525653,0.21599403122285082,0.0,0.012676518408142587,0.02999183620342829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22.0,0.030188556424973884,6.727041696698056,0.23891494309452843,0.0,0.07729336615847902,0.1106279669483489,2.6314944260843185,0.20373369259027407,0.21598450198511832,0.0,0.012272827945684888,0.029991728609043325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23.0,0.026637272728665777,7.234037733515944,0.16320749413357263,0.0,0.08425982866892687,0.11420442815348825,2.5820999629164496,0.20327036497985188,0.21598827068234278,0.0,0.013323545796877532,0.02999164494249934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24.0,0.025937723202935917,5.214989402128298,0.1638575655473212,0.0,0.08269483893024518,0.1162035692545111,2.5833983681920296,0.20760676442314724,0.2159990863002958,0.0,0.012540125411672678,0.029992784939451803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25.0,0.030344915013479214,5.753694608486292,0.18126773212927633,0.0,0.0892647189685072,0.12003764168645203,2.6428002956241197,0.20672495386921563,0.21597621813853593,0.0,0.01387322417358839,0.029990738470363192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26.0,0.024550828711586245,5.570788803736841,0.14276182766506118,0.0,0.08486267918631298,0.11770168497664613,2.5584801779511466,0.20647259557944422,0.21599003955322732,0.0,0.013355427377786803,0.02999255413429329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27.0,0.028124532905821086,6.639572715440343,0.12159188233329622,0.0,0.08113470097198772,0.12067475279533595,2.60124171240772,0.2035261471716079,0.215997368173279,0.0,0.012969668365362305,0.029992890943732996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28.0,0.03321570058450591,4.233740993568124,0.11660453137761129,0.0,0.09397011344325987,0.1192574856524427,2.6745810767225975,0.20798872159048745,0.21599929600146534,0.0,0.013675142045583958,0.029993525886880517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29.0,0.03175726847203754,6.215175932322884,0.10920920447301667,0.0,0.08651545016772667,0.12166543711736107,2.6485298649702305,0.2057951194496682,0.21600111177369477,0.0,0.014239146436575239,0.029993683908934927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30.0,0.03632959502271303,6.954716091500195,0.13379069207354793,0.0,0.07927575702641604,0.11858125240142176,2.7269087078125778,0.20432017492087753,0.21600205274470127,0.0,0.013095106596384317,0.02999353858072491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31.0,0.030635237321602345,6.858256857600816,0.13521559930935223,0.0,0.08963971233525278,0.10964354825877777,2.6320365429793715,0.2043789942981319,0.21599796581238143,0.0,0.013405030452843355,0.02999303053693462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32.0,0.03277984792169953,7.065034155748785,0.18004686107394816,0.0,0.09052252230306403,0.1039303365502029,2.700181017285693,0.20326735462525886,0.21599701891952,0.0,0.01330821831700536,0.02999282217438179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33.0,0.02765197918789682,7.692509221993958,0.15641251350848637,0.0,0.0915238548763825,0.10549458521416112,2.6056858746152036,0.2013011858916565,0.21600248499471897,0.0,0.013766189461125495,0.02999338590480998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34.0,0.024536106903876812,7.097704195133877,0.2099693033342649,0.0,0.08231212397616694,0.1050342180994347,2.5677947800926764,0.20462062184204569,0.21599990741336894,0.0,0.013139539712836813,0.029992534098500098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35.0,0.02728710761723508,7.510728795444943,0.17228398629558708,0.0,0.0805089283921706,0.10844457401627863,2.5973568814772805,0.2022312509287941,0.21599837350448056,0.0,0.011996727286954011,0.029993269026873475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,0.024181693944948218,5.912055930385929,0.15075825800047565,0.0,0.08463341921783785,0.11699596028550222,2.5649918863301795,0.20586976158702955,0.21599853411988973,0.0,0.013022955209152042,0.029993804904977425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,0.0219101828341375,7.947722561606418,0.14669024994741142,0.0,0.08748719739727286,0.12002124024857004,2.536964479491434,0.2037747838896146,0.2160001002500955,0.0,0.013371273204411895,0.02999330798688099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38.0,0.028849833977597605,7.964278265750421,0.11786634953174285,0.0,0.08404922053281699,0.11811712700532745,2.608651915152256,0.20308928411824945,0.21599728247274663,0.0,0.013829824752480391,0.029993476883200976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39.0,0.028579687511023296,5.018024426942266,0.16612961791008082,0.0,0.08949953252761636,0.11604510147436976,2.614818767242133,0.20675543182774253,0.21600202086572606,0.0,0.01292075861551226,0.029993555717623334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40.0,0.027481486372350105,8.071935310927147,0.20100905270909886,0.0,0.0881954125611867,0.11797314631311547,2.5928052892584765,0.20596359621083962,0.2159926783748336,0.0,0.0137363548199118,0.029992754332683384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
