year,species,yield_data
2019,plaice,2126.45407
2020,plaice,1234.94783
2021,plaice,1119.11597
2022,plaice,68.63591
2002,thornbackRay,0.9803
2003,thornbackRay,5.97819
2004,thornbackRay,7.95393
2005,thornbackRay,2.29143
2006,thornbackRay,2.73583
2007,thornbackRay,4.03317
2008,thornbackRay,120.37651
2009,thornbackRay,150.41863
2010,thornbackRay,150.39777
2011,thornbackRay,162.66945
2012,thornbackRay,218.9812
2013,thornbackRay,259.82955
2014,thornbackRay,271.12721
2015,thornbackRay,250.34476
2016,thornbackRay,319.57272
2017,thornbackRay,341.00356
2018,thornbackRay,439.07404
2019,thornbackRay,452.85021
2020,thornbackRay,463.72403
2021,thornbackRay,505.30828
2022,thornbackRay,172.45886
2002,sole,2662.74691
2003,sole,2833.93493
2004,sole,2703.25002
2005,sole,1934.71557
2006,sole,2266.84834
2007,sole,2367.4932
2008,sole,2146.27374
2009,sole,2363.78221
2010,sole,2061.22457
2011,sole,2018.43149
2012,sole,1671.31456
2013,sole,1682.45465
2014,sole,2221.56801
2015,sole,1612.01609
2016,sole,1275.54199
2017,sole,1118.05703
2018,sole,1118.6123
2019,sole,876.04485
2020,sole,900.41674
2021,sole,880.89772
2022,sole,17.91179
2002,squids,120.96865
2003,squids,139.52943
2004,squids,93.23822
2005,squids,56.02919
2006,squids,9.69485
2007,squids,36.145
2008,squids,84.28288
2009,squids,81.04842
2010,squids,71.54372
2011,squids,63.95707
2012,squids,33.12609
2013,squids,34.82895
2014,squids,92.57306
2015,squids,113.3016
2016,squids,120.32146
2017,squids,327.21356
2018,squids,251.83553
2019,squids,206.62412
2020,squids,109.14705
2021,squids,157.58252
2022,squids,346.1684
2002,lesserSpottedDogfish,266.29715
2003,lesserSpottedDogfish,184.87284
2004,lesserSpottedDogfish,178.92496
2005,lesserSpottedDogfish,161.28345
2006,lesserSpottedDogfish,170.85038
2007,lesserSpottedDogfish,170.44129
2008,lesserSpottedDogfish,187.21859
2009,lesserSpottedDogfish,171.18846
2010,lesserSpottedDogfish,207.75273
2011,lesserSpottedDogfish,226.30457
2012,lesserSpottedDogfish,213.82192
2013,lesserSpottedDogfish,211.01024
2014,lesserSpottedDogfish,170.05457
2015,lesserSpottedDogfish,178.39319
2016,lesserSpottedDogfish,375.69835
2017,lesserSpottedDogfish,495.45143
2018,lesserSpottedDogfish,462.17224
2019,lesserSpottedDogfish,506.00679
2020,lesserSpottedDogfish,429.35323
2021,lesserSpottedDogfish,447.69429
2022,lesserSpottedDogfish,116.07663
2002,whiting,203.99797
2003,whiting,356.94136
2004,whiting,280.61955
2005,whiting,267.48523
2006,whiting,263.60323
2007,whiting,279.7126
2008,whiting,407.36448
2009,whiting,391.31628
2010,whiting,737.7566
2011,whiting,768.23262
2012,whiting,845.90067
2013,whiting,1328.27752
2014,whiting,1172.66496
2015,whiting,1249.44352
2016,whiting,1285.40872
2017,whiting,1434.05894
2018,whiting,1511.683
2019,whiting,1473.74305
2020,whiting,958.23677
2021,whiting,1149.2835
2022,whiting,453.28007
