year,lesserSpottedDogfish,redMullet,pouting,whiting,poorCod,cod,dragonet,sole,plaice,horseMackerel,mackerel,herring,sardine,squids,cuttlefish,thornbackRay
2002,1881,1149,2636,5361,0,1563,0,5399,5496,7809,8479.5,32820,9731.01891,2513,527,863.5
2003,1752,2469,2658,7005,0,1941,0,6247,4650,12769.5,10606,47233,15206.98718,3801,522,860.5
2004,1687,3625,2337,5283,0,974,0,5667,4312,13981,9718,48008,10128.0646,2821,639,792
2005,1993,1593,2143,4901,0,1230,0,4620,3706,9092,7043,59515,12998.62046,2148,486,665.5
2006,1640.4,1082.5,2269.4,3749.3,0,1480.2,0,4831.8,3524.7,10267.8,7006,45205.3,14906.83705,2158.5,635.7,648
2007,1545.2,3782.1,2333.8,3390.9,0,2072.6,0,5313,3844.8,19813.5,5367.7,31324.3,9175.64,1873.4,1212.9,694.5
2008,1296.7,3536,2198.5,3192.7,0,1661.8,0,4972.21,3609.2,17135.9,4248.8,24527.41,9554.7948,1730.6,931.9,667.5
2009,1707.7,1115.2,2668.2,6569.3,0,2022.9,0,5281.7,3522.4,12527.2,6342.11,17058.21,6761.07996,2017.1,1697.2,488
2010,1971.6,1468.4,2978.1,6133.1,0,1836,0,4448.5,3891.7,14859.3,5738.1,20527.9,5420.81779,2113.9,3281.6,650.4
2011,2082.77,1205.57,2970.29,5463.83,0,1310.97,0,4202.92,3592.85,15544.88,7338.85,24173.1,1042.78616,1206.95,2986.68,644.28
2012,1969.85,504.72,2321.47,3856.36,0,1064.15,0,4043.31,3611.37,15120.22,6104.07,35235.93,1199.70164,851.86,3340.94,888.26
2013,1966.49,265.93,1905.34,4292.39,0,958.75,0,4441.62,4182.12,10505.38,5722.51,41696.7,2675.6705,818.31,1966.07,1135.97
2014,2057.01,1476.2,2042.09,3224.38,0,1548.39,0,4650.98,4326.18,5964.08,4906.86,35072.07,1723.78548,1545.25,1521.57,1180.43
2015,1882.52,3727.23,1484.19,4167.25,0,1433.95,0,3410.92,3748.51,5674.95,5975.47,45550.93,1644.81503,1722.95,2490.57,964.28
2016,2103.21,1788.71,1844.14,3731.69,0,459.03,0,2528.63,4658.19,3662.78,7728.85,42806.93,2080.69967,2246.58,2640.46,1094.3
2017,1889.47,1551.77,1860.92,3456.6,0,179.93,0,2223.38,4580.78,5788.77,5922.54,33558.98,3426.76588,3473.76,2714.61,1064.35
2018,1826.059,1267.139,1644.363,3624.913,0,92.086,0,2312.133,4985.997,8361.731,5432.806,42982.148,1868.21522,3214.16,1791.242,1437.457
2019,1855.2004,2787.9398,1583.7625,3119.2327,0,38.4964,0,1772.9805,3713.9473,4182.966,4542.8424,35968.609,1106.84569,2770.167,2777.158,1480.6619
2020,1831.2698,2143.2475,1191.3378,1986.686,0,39.8639,0,1711.8987,2122.9877,4584.259,5658.0627,32599.6047,705.95679,1463.4149,2848.651,1257.969
2021,1695.4961,1692.4116,1092.538,2430.3379,0,28.2496,0,1680.0251,1784.7241,3064.683,6073.641,26454.9799,883.58813,1585.366,2403.424,1519.4218
