"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,45.093727,28.000332,16.259104,55.253754,NaN,83.504036,6.995307,9.810984,46.637783,17.80347,24.696478,14.614072,14.084108,NaN
5.0,47.85376,34.929302,17.824059,56.970345,NaN,93.97365,7.719253,10.529287,69.32966,20.061026,30.607277,15.392497,14.892506,NaN
6.0,53.780876,39.60126,9.235917,51.657993,NaN,102.5396,10.065977,41.281254,61.820248,28.595243,45.640648,15.634954,31.800066,NaN
7.0,55.530624,54.095634,9.678368,52.346817,NaN,108.3505,NaN,27.748375,86.24495,30.42607,32.702587,16.264288,29.740557,NaN
8.0,61.319973,40.225918,10.318179,49.40141,NaN,113.40237,35.080383,27.432114,79.60319,18.858316,33.088943,16.713362,29.732672,NaN
9.0,71.12962,53.65414,15.910778,49.857822,NaN,120.21575,25.689053,18.267391,66.31267,19.349068,19.584309,17.021408,28.184319,NaN
10.0,78.83995,35.743366,17.290207,49.23203,NaN,125.594376,16.49468,21.971352,69.61458,19.543127,20.318876,16.993841,22.64176,NaN
11.0,83.115585,41.265163,16.63364,51.307983,NaN,121.78145,18.04083,15.655873,48.567944,20.327435,23.459412,15.9182005,19.064129,NaN
12.0,78.91814,45.790813,21.842855,55.073166,NaN,125.832565,14.773637,18.609838,53.05915,20.603361,29.234428,16.14169,17.24637,NaN
13.0,78.37805,38.42441,21.931757,59.626797,NaN,131.12712,16.960388,17.582085,60.498184,17.110985,30.325085,16.536522,17.03393,NaN
14.0,75.8258,31.88517,16.980177,59.831123,NaN,133.71063,15.058934,17.483433,38.364277,15.06772,31.380587,16.891462,17.286089,NaN
15.0,70.74659,34.783077,18.397089,59.060333,NaN,138.0337,12.857606,16.614433,55.786438,14.785092,23.31759,17.179913,17.030428,NaN
16.0,65.00051,28.931189,18.327736,58.198406,NaN,142.00195,13.479779,16.75749,48.708805,15.859297,21.67058,17.394493,17.223726,NaN
17.0,64.34105,30.775772,16.099524,60.040123,NaN,145.41727,13.611079,18.519375,48.298763,16.963915,21.175371,17.524233,17.65465,NaN
18.0,66.2744,35.022118,14.028361,59.438915,NaN,147.1894,11.8939295,17.296915,43.779446,17.927942,21.835358,16.873938,17.376938,NaN
19.0,65.939316,39.322624,15.449187,61.244568,NaN,143.45221,10.540696,17.122627,39.580273,18.0607,23.002214,19.717703,17.018469,NaN
20.0,65.31187,33.30308,15.415586,60.252663,NaN,121.616165,11.250112,17.71463,48.400326,16.862299,23.134184,21.30501,16.737736,NaN
21.0,68.473656,34.532543,17.011517,60.359325,NaN,125.721306,11.806058,15.852218,47.70427,15.053705,22.782482,22.187342,16.546064,NaN
22.0,71.55588,30.744987,15.677285,60.663754,NaN,132.351,11.281584,15.555465,44.759274,14.870517,22.460224,19.729399,16.385002,NaN
23.0,71.24566,27.592964,13.48377,62.43289,NaN,134.1481,11.430735,15.603439,43.40454,15.516824,22.226963,18.602348,16.75896,NaN
24.0,68.50979,27.291101,13.37463,62.264774,NaN,138.31323,11.133613,15.6430235,44.843246,16.31698,21.92839,18.810747,17.100346,NaN
25.0,63.719482,27.71386,13.562045,63.518623,NaN,129.23631,11.067192,15.379141,41.57864,16.528265,22.335527,19.09831,16.788126,NaN
26.0,61.754818,27.304651,15.609493,64.9405,NaN,127.10351,10.630715,15.6450405,47.79137,16.55688,22.722189,18.336655,16.53603,NaN
27.0,63.679882,24.944345,15.127804,63.978172,NaN,128.36334,11.41968,15.725202,43.72127,15.601266,22.32967,18.983402,16.386683,NaN
28.0,66.32439,25.842161,16.589796,62.956448,NaN,135.86871,12.2400465,15.578058,37.966034,15.821433,21.94049,19.590616,16.349108,NaN
29.0,66.40533,25.600979,14.130096,63.841793,NaN,130.39444,12.548087,15.660528,42.2149,16.024195,21.87638,19.711592,16.310438,NaN
30.0,65.02515,25.077276,13.788211,65.70866,NaN,130.6599,11.495453,15.887076,44.01198,15.829633,21.600471,19.70193,16.282536,NaN
31.0,64.71756,24.622255,14.7657585,65.06451,NaN,129.36089,10.520832,16.124516,37.93867,15.024779,21.425812,19.163681,15.629748,NaN
32.0,63.075516,23.56592,14.197203,64.43335,NaN,136.63907,10.631943,16.16115,35.38197,14.893468,20.031261,19.005465,15.441618,NaN
33.0,59.87476,23.497719,15.371667,63.430416,NaN,143.14189,11.205408,16.465212,40.36705,15.036818,19.802298,19.556383,15.583037,NaN
34.0,58.978333,22.458626,15.73891,63.158203,NaN,149.62502,12.038241,16.268326,38.66189,15.394677,20.183624,20.05432,15.8962755,NaN
35.0,59.639458,23.301332,16.013706,64.328445,NaN,156.03114,13.133724,16.514505,40.401546,16.18024,20.5256,19.725782,16.24111,NaN
36.0,61.618797,25.52593,16.72719,65.44997,NaN,123.349495,13.443611,16.158222,45.72075,16.97237,20.778963,19.535622,16.591242,NaN
37.0,63.845226,24.914047,15.515946,65.1706,NaN,130.64822,12.066134,15.655928,45.91342,17.425589,20.8442,20.125322,16.77606,NaN
38.0,68.06082,26.874825,13.769207,65.23446,NaN,139.954,12.086867,16.121119,48.70852,17.292006,21.406992,19.886162,16.687534,NaN
39.0,70.18443,24.51982,15.2351885,66.52025,NaN,145.94753,12.873091,16.008135,54.833458,17.605516,22.286892,18.718016,16.35348,NaN
40.0,70.83773,23.6378,15.3495035,63.95796,NaN,150.77567,11.909914,15.502367,53.067787,17.690964,23.406603,18.814363,16.397596,NaN
