"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,14.399892799753712,6.534981608805746,1.1723799684070324,0.0,0.14604457287445202,0.0,0.08759569440037544,0.0011789701753684633,0.0011939884433501149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14335187849953412,
2.0,7.095635431389539,10.659307971322095,0.22289345528120239,0.0,0.3205241040360896,0.12897583010250385,0.05369750239705545,0.0011523061066054895,0.0011924290040406602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03359255656070956,
3.0,3.860230062544917,6.740688525224808,0.4299387253992872,0.0,0.47384638352345476,0.23137075430769452,0.04449427911702825,0.001186027284224423,0.0011920434932368917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019139757864465301,
4.0,3.549107535560543,8.095011933603507,1.3280889565901046,0.0,0.4925464659610425,0.20690756754467401,0.04368613449676559,0.0011851704195615224,0.001191534076403876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014066504403175983,
5.0,3.4806744901954505,8.613026856691503,0.9874783800718552,0.0,0.5288764273954113,0.19498754347052846,0.04350899199516853,0.0011900098090368147,0.0011919583927356486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.835218132550808E-4,
6.0,3.9001696586652668,10.217030745892272,0.5867057113255952,0.0,0.4671379594322609,0.1628927245422779,0.044596547245188356,0.0011894332787150631,0.0011948816022859545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10947268198207714,
7.0,3.2634409738500607,9.830298236056114,0.4754519579148175,0.0,0.4411731693042836,0.1699644087354253,0.04303237861145778,0.0011913388813008705,0.0011936057843269043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06504575649685122,
8.0,3.1820237222457264,8.187899427450173,0.7709344591427401,0.0,0.45076957851695504,0.21235585105359314,0.04273956574101209,0.0011946455623871972,0.0011964603433773481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17284701428004837,
9.0,3.022090114243185,9.416276545984259,1.0756559494693236,0.0,0.4223950013888673,0.16941227079829368,0.042320244728332485,0.001195296440881776,0.00119402732634608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10459708570313453,
10.0,2.915567336563943,9.271623246616018,0.6701121591764851,0.0,0.42078073965662116,0.15442385162322633,0.0420361910857397,0.0011927995047418037,0.0011957468034937138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167751572995146,
11.0,2.624083782860576,9.773620150803012,0.46697597649698247,0.0,0.4210880835687165,0.20160707044902637,0.04129252472614272,0.0011986666604638146,0.0011938947402539669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07307225770802317,
12.0,2.557506279682806,9.904909674460537,0.4734114096537247,0.0,0.43594346664499833,0.15201966084792554,0.04115580135831288,0.0011935346367078824,0.0011946593072721487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1188848054821596,
13.0,3.3650611018916603,9.224712075329066,0.47550777403340666,0.0,0.4630066125381703,0.17256659885136735,0.043233501748108506,0.001192824899859768,0.0011954342131565705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13380036400049097,
14.0,3.138988934359425,9.413779033105241,0.8638025719497406,0.0,0.40711939241873885,0.179181281852232,0.04260057996941665,0.0011936505147293651,0.0011960410783587612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555642870599354,
15.0,3.1586818714378904,9.53328846903554,0.5408952662158394,0.0,0.427349430921225,0.15074274334756252,0.04269589305553607,0.0011944068694552295,0.0011946461627736047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10576506397540059,
16.0,3.0884777742614586,9.487110945994834,0.5531513800720025,0.0,0.47106423414678605,0.16284622296042126,0.04246198844510027,0.001190174041378366,0.00119458925053832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09907086898760431,
